Gene,CCA_1,CCA_2,Other_1,Other_2,Total_Reads,Comparison,Biorep,Genome,Isodecoder,ID
nuclear-Ath-AlaTGC-171751,43.52246393,0.897363993,80.95258437,92.37956844,257411,Periodate vs Deacylated,Bio Rep1,Nuclear,AlaTGC,171751
nuclear-Ath-ArgACG-171679,56.07260726,5.374677003,55.55229573,82.7724359,18049,Periodate vs Deacylated,Bio Rep1,Nuclear,ArgACG,171679
nuclear-Ath-ArgACG-171680,57.8784758,5.204944697,56.20317238,83.23621066,104087,Periodate vs Deacylated,Bio Rep1,Nuclear,ArgACG,171680
nuclear-Ath-ArgACG-171681,53.84767753,5.089121082,47.66224342,71.83951814,48180,Periodate vs Deacylated,Bio Rep1,Nuclear,ArgACG,171681
nuclear-Ath-ArgACG-171682,55.23426694,5.386105729,50.73883235,74.34094654,117370,Periodate vs Deacylated,Bio Rep1,Nuclear,ArgACG,171682
nuclear-Ath-ArgACG-171683,51.99632859,5,63.42486907,86.74949868,80654,Periodate vs Deacylated,Bio Rep1,Nuclear,ArgACG,171683
nuclear-Ath-ArgACG-171772,53.57042845,3.296373989,62.72637127,86.51090406,68638,Periodate vs Deacylated,Bio Rep1,Nuclear,ArgACG,171772
nuclear-Ath-ArgCCG-171678,64.66127906,3.571871666,43.95196522,64.93293481,372914,Periodate vs Deacylated,Bio Rep1,Nuclear,ArgCCG,171678
nuclear-Ath-ArgCCG-171686,55.87899543,3.502235469,66.69201521,80.93388899,26376,Periodate vs Deacylated,Bio Rep1,Nuclear,ArgCCG,171686
nuclear-Ath-ArgCCG-183763,55.76923077,5.767350929,60.01618778,78.79792746,7296,Periodate vs Deacylated,Bio Rep1,Nuclear,ArgCCG,183763
nuclear-Ath-ArgCCT-171715,53.24957719,0.379834254,55.67573356,75.19486081,32688,Periodate vs Deacylated,Bio Rep1,Nuclear,ArgCCT,171715
nuclear-Ath-ArgCCT-171716,55.7859803,0.61251163,57.25802311,75.72279826,527688,Periodate vs Deacylated,Bio Rep1,Nuclear,ArgCCT,171716
nuclear-Ath-ArgCCT-171719,51.49909618,2.403545656,65.61059784,80.50101932,136907,Periodate vs Deacylated,Bio Rep1,Nuclear,ArgCCT,171719
nuclear-Ath-ArgTCG-171676,49.59695404,2.160709179,61.69504379,71.92580771,551389,Periodate vs Deacylated,Bio Rep1,Nuclear,ArgTCG,171676
nuclear-Ath-ArgTCG-171677,53.92632525,1.543260548,55.80234821,66.32150918,274490,Periodate vs Deacylated,Bio Rep1,Nuclear,ArgTCG,171677
nuclear-Ath-ArgTCT-171693,62.86596831,5.164652926,72.01067549,85.05417463,83087,Periodate vs Deacylated,Bio Rep1,Nuclear,ArgTCT,171693
nuclear-Ath-ArgTCT-171694,65.40149287,4.842097367,75.00621876,87.83812139,307668,Periodate vs Deacylated,Bio Rep1,Nuclear,ArgTCT,171694
nuclear-Ath-ArgTCT-171695,68.78954465,2.836320662,67.08770013,84.07315619,156801,Periodate vs Deacylated,Bio Rep1,Nuclear,ArgTCT,171695
nuclear-Ath-ArgTCT-171696,67.96581197,3.482352941,67.67241379,84.49697235,50169,Periodate vs Deacylated,Bio Rep1,Nuclear,ArgTCT,171696
nuclear-Ath-ArgTCT-171714,68.6426279,2.506865714,53.04910477,76.62810026,72043,Periodate vs Deacylated,Bio Rep1,Nuclear,ArgTCT,171714
nuclear-Ath-ArgTCT-171717,63.44767945,3.475319083,59.28881587,78.73863859,47628,Periodate vs Deacylated,Bio Rep1,Nuclear,ArgTCT,171717
nuclear-Ath-AsnGTT-171725,58.30159939,0.716845878,67.44762613,85.56861006,21600,Periodate vs Deacylated,Bio Rep1,Nuclear,AsnGTT,171725
nuclear-Ath-AsnGTT-171727,59.19437226,1.081102178,67.94496151,86.48835357,259253,Periodate vs Deacylated,Bio Rep1,Nuclear,AsnGTT,171727
nuclear-Ath-AsnGTT-171729,58.31451927,1.735569423,68.67684354,88.64195125,307759,Periodate vs Deacylated,Bio Rep1,Nuclear,AsnGTT,171729
nuclear-Ath-AsnGTT-183736,62.09617756,1.205494814,63.0523918,83.0923828,32072,Periodate vs Deacylated,Bio Rep1,Nuclear,AsnGTT,183736
nuclear-Ath-AsnGTT-183738,58.6397567,1.034158571,66.54333549,85.1987569,64740,Periodate vs Deacylated,Bio Rep1,Nuclear,AsnGTT,183738
nuclear-Ath-AsnGTT-183739,57.19929763,1.991362764,69.54749014,89.85369654,56040,Periodate vs Deacylated,Bio Rep1,Nuclear,AsnGTT,183739
nuclear-Ath-AspGTC-171804,61.35696089,12.87993039,51.34381207,65.75798202,1428884,Periodate vs Deacylated,Bio Rep1,Nuclear,AspGTC,171804
nuclear-Ath-CysGCA-171684,66.85472496,15.3088042,39.28754924,56.19513599,19737,Periodate vs Deacylated,Bio Rep1,Nuclear,CysGCA,171684
nuclear-Ath-CysGCA-171742,63.03219107,17.84482759,49.28909953,58.57142857,4699,Periodate vs Deacylated,Bio Rep1,Nuclear,CysGCA,171742
nuclear-Ath-CysGCA-171756,66.13798573,17.14150047,67.83163265,68.80462154,10671,Periodate vs Deacylated,Bio Rep1,Nuclear,CysGCA,171756
nuclear-Ath-CysGCA-171757,71.36752137,21.26556017,51.27537741,65.2987761,4699,Periodate vs Deacylated,Bio Rep1,Nuclear,CysGCA,171757
nuclear-Ath-CysGCA-171758,63.5903004,16.47751156,51.71268787,62.10878395,36558,Periodate vs Deacylated,Bio Rep1,Nuclear,CysGCA,171758
nuclear-Ath-CysGCA-171759,67.80780781,21.4368932,45.78313253,49.30104351,8150,Periodate vs Deacylated,Bio Rep1,Nuclear,CysGCA,171759
nuclear-Ath-CysGCA-171762,65.99664992,20.07874016,52.80632411,58.51932499,3102,Periodate vs Deacylated,Bio Rep1,Nuclear,CysGCA,171762
nuclear-Ath-CysGCA-183742,63.37799432,16.26694473,41.92407451,57.74089307,11049,Periodate vs Deacylated,Bio Rep1,Nuclear,CysGCA,183742
nuclear-Ath-CysGCA-183745,67.57246377,19.45854484,42.5,55.02283105,2274,Periodate vs Deacylated,Bio Rep1,Nuclear,CysGCA,183745
nuclear-Ath-GlnCTG-171763,61.50335188,7.653303755,48.00889878,58.11097836,43617,Periodate vs Deacylated,Bio Rep1,Nuclear,GlnCTG,171763
nuclear-Ath-GlnCTG-171765,52.17755444,6.878306878,56.34369287,63.98680835,19115,Periodate vs Deacylated,Bio Rep1,Nuclear,GlnCTG,171765
nuclear-Ath-GlnCTG-171773,57.57071547,7.545320921,50.73770492,58.78294234,38251,Periodate vs Deacylated,Bio Rep1,Nuclear,GlnCTG,171773
nuclear-Ath-GlnCTG-171774,55.92641261,8.069258412,50.17677098,57.80453063,29400,Periodate vs Deacylated,Bio Rep1,Nuclear,GlnCTG,171774
nuclear-Ath-GlnCTG-171775,58.50808489,7.097487289,52.31181662,54.87254178,333925,Periodate vs Deacylated,Bio Rep1,Nuclear,GlnCTG,171775
nuclear-Ath-GlnTTG-171777,50.5794433,4.81117362,65.67019892,71.64035874,307009,Periodate vs Deacylated,Bio Rep1,Nuclear,GlnTTG,171777
nuclear-Ath-GlnTTG-183749,51.58276644,3.940576608,55.96693027,63.44053852,111943,Periodate vs Deacylated,Bio Rep1,Nuclear,GlnTTG,183749
nuclear-Ath-GluCTC-171821,72.86866359,10.90241068,48.22546973,65.70800442,87841,Periodate vs Deacylated,Bio Rep1,Nuclear,GluCTC,171821
nuclear-Ath-GluCTC-171824,71.54843631,10.56731182,48.1522169,64.84805264,214863,Periodate vs Deacylated,Bio Rep1,Nuclear,GluCTC,171824
nuclear-Ath-GluCTC-171825,74.87537388,10.46267935,45.2510917,61.7429382,36092,Periodate vs Deacylated,Bio Rep1,Nuclear,GluCTC,171825
nuclear-Ath-GluTTC-171820,67.43522844,10.67476226,57.42388819,73.44228066,367651,Periodate vs Deacylated,Bio Rep1,Nuclear,GluTTC,171820
nuclear-Ath-GluTTC-171822,70.80380644,11.52236356,56.85709294,72.88244982,56382,Periodate vs Deacylated,Bio Rep1,Nuclear,GluTTC,171822
nuclear-Ath-GluTTC-171826,68.08080808,12.05115593,59.28439235,74.27070809,20666,Periodate vs Deacylated,Bio Rep1,Nuclear,GluTTC,171826
nuclear-Ath-GluTTC-183764,68.55862584,10.55828753,67.64137264,80.03234564,21451,Periodate vs Deacylated,Bio Rep1,Nuclear,GluTTC,183764
nuclear-Ath-GlyCCC-171713,52.06502899,2.012868504,65.38819587,75.02644834,493942,Periodate vs Deacylated,Bio Rep1,Nuclear,GlyCCC,171713
nuclear-Ath-GlyGCC-171688,60.17699115,2.889369592,57.28579899,80.47426537,46638,Periodate vs Deacylated,Bio Rep1,Nuclear,GlyGCC,171688
nuclear-Ath-GlyGCC-171690,65.20467836,4.376004563,61.12500406,84.53129511,155475,Periodate vs Deacylated,Bio Rep1,Nuclear,GlyGCC,171690
nuclear-Ath-GlyGCC-171691,60.43562352,3.497430712,61.18697651,83.77535885,1591627,Periodate vs Deacylated,Bio Rep1,Nuclear,GlyGCC,171691
nuclear-Ath-GlyGCC-171692,69.06359859,3.486394558,47.54400671,67.0557475,16674,Periodate vs Deacylated,Bio Rep1,Nuclear,GlyGCC,171692
nuclear-Ath-GlyTCC-171720,47.81792811,1.905150403,75.40007575,82.81403356,469618,Periodate vs Deacylated,Bio Rep1,Nuclear,GlyTCC,171720
nuclear-Ath-HisGTG-171768,46.04834731,10.64834693,66.03609189,66.8030275,270152,Periodate vs Deacylated,Bio Rep1,Nuclear,HisGTG,171768
nuclear-Ath-HisGTG-171770,47.77167277,9.994313335,52.38026019,60.78168994,49630,Periodate vs Deacylated,Bio Rep1,Nuclear,HisGTG,171770
nuclear-Ath-HisGTG-183747,46.91174483,9.95952463,58.36475156,62.83149017,80254,Periodate vs Deacylated,Bio Rep1,Nuclear,HisGTG,183747
nuclear-Ath-HisGTG-183748,43.94668641,8.243875585,62.92890475,67.89288792,52547,Periodate vs Deacylated,Bio Rep1,Nuclear,HisGTG,183748
nuclear-Ath-IleAAT-171735,46.68957026,32.69589359,77.63009427,83.61381483,814212,Periodate vs Deacylated,Bio Rep1,Nuclear,IleAAT,171735
nuclear-Ath-IleAAT-171736,43.86546526,29.32429254,78.48442358,85.21182038,989257,Periodate vs Deacylated,Bio Rep1,Nuclear,IleAAT,171736
nuclear-Ath-IleTAT-171721,53.75886525,34.77855478,67.87179098,73.9992121,39582,Periodate vs Deacylated,Bio Rep1,Nuclear,IleTAT,171721
nuclear-Ath-IleTAT-171764,51.23390558,35.44966162,67.95599106,75.97834649,71301,Periodate vs Deacylated,Bio Rep1,Nuclear,IleTAT,171764
nuclear-Ath-LeuAAG-171816,58.81464858,3.384215045,65.15009314,83.47684049,591843,Periodate vs Deacylated,Bio Rep1,Nuclear,LeuAAG,171816
nuclear-Ath-LeuAAG-171817,57.9034639,3.400373754,65.04940139,83.33616432,600698,Periodate vs Deacylated,Bio Rep1,Nuclear,LeuAAG,171817
nuclear-Ath-LeuCAA-171786,51.77131947,3.52218366,63.52804642,77.2005988,119370,Periodate vs Deacylated,Bio Rep1,Nuclear,LeuCAA,171786
nuclear-Ath-LeuCAA-171787,57.99929053,3.229527105,64.5431105,80.71699634,87840,Periodate vs Deacylated,Bio Rep1,Nuclear,LeuCAA,171787
nuclear-Ath-LeuCAA-171789,58.7250536,3.900674068,64.12319891,79.88615179,134108,Periodate vs Deacylated,Bio Rep1,Nuclear,LeuCAA,171789
nuclear-Ath-LeuCAA-171790,59.39777017,3.081914031,61.82768674,78.3795771,126791,Periodate vs Deacylated,Bio Rep1,Nuclear,LeuCAA,171790
nuclear-Ath-LeuCAA-183751,51.48221344,1.20537784,64.11347518,77.18908629,12276,Periodate vs Deacylated,Bio Rep1,Nuclear,LeuCAA,183751
nuclear-Ath-LeuCAG-171781,54.88853219,3.554479727,60.91321018,79.29299258,223350,Periodate vs Deacylated,Bio Rep1,Nuclear,LeuCAG,171781
nuclear-Ath-LeuTAA-171698,61.11532625,2.856304412,53.10721063,79.1728634,65949,Periodate vs Deacylated,Bio Rep1,Nuclear,LeuTAA,171698
nuclear-Ath-LeuTAA-171699,59.31349016,2.814522938,54.10377878,79.41562705,69936,Periodate vs Deacylated,Bio Rep1,Nuclear,LeuTAA,171699
nuclear-Ath-LeuTAA-171791,49.84866828,3.560709413,54.13340737,75.8857782,44804,Periodate vs Deacylated,Bio Rep1,Nuclear,LeuTAA,171791
nuclear-Ath-LeuTAG-171673,47.84091271,3.104510451,79.49353026,89.87425811,601876,Periodate vs Deacylated,Bio Rep1,Nuclear,LeuTAG,171673
nuclear-Ath-LeuTAG-171675,47.43763058,2.839190133,75.29694817,87.95297104,524111,Periodate vs Deacylated,Bio Rep1,Nuclear,LeuTAG,171675
nuclear-Ath-LeuTAG-171685,47.52475248,2.675105694,76.24887728,88.84746782,485141,Periodate vs Deacylated,Bio Rep1,Nuclear,LeuTAG,171685
nuclear-Ath-LysCTT-171703,66.66067577,5.271776784,56.38643935,71.93884765,82095,Periodate vs Deacylated,Bio Rep1,Nuclear,LysCTT,171703
nuclear-Ath-LysCTT-171704,67.3402546,6.188235868,47.60005921,64.17812179,788769,Periodate vs Deacylated,Bio Rep1,Nuclear,LysCTT,171704
nuclear-Ath-LysCTT-183733,69.49708455,6.620861961,44.50960566,62.19003385,17648,Periodate vs Deacylated,Bio Rep1,Nuclear,LysCTT,183733
nuclear-Ath-LysTTT-171707,72.02377267,12.34106208,36.90809431,69.07001851,128679,Periodate vs Deacylated,Bio Rep1,Nuclear,LysTTT,171707
nuclear-Ath-LysTTT-171712,70.10869565,9.545454545,40.72951208,65.85778781,17643,Periodate vs Deacylated,Bio Rep1,Nuclear,LysTTT,171712
nuclear-Ath-LysTTT-183734,71.35913137,11.6649239,36.21159448,67.76947705,127910,Periodate vs Deacylated,Bio Rep1,Nuclear,LysTTT,183734
nuclear-Ath-PheGAA-171718,50.54786561,11.5945383,63.52536882,76.06100814,625223,Periodate vs Deacylated,Bio Rep1,Nuclear,PheGAA,171718
nuclear-Ath-ProAGG-171737,70.51192146,1.203178837,52.4798667,74.09891755,156949,Periodate vs Deacylated,Bio Rep1,Nuclear,ProAGG,171737
nuclear-Ath-ProAGG-171738,73.49806202,1.85617428,51.68539326,72.40691897,36878,Periodate vs Deacylated,Bio Rep1,Nuclear,ProAGG,171738
nuclear-Ath-ProAGG-171743,71.16170461,1.03950104,51.31678666,67.07502099,152263,Periodate vs Deacylated,Bio Rep1,Nuclear,ProAGG,171743
nuclear-Ath-ProCGG-171760,65.12229071,1.259493671,71.36104784,84.39459935,118807,Periodate vs Deacylated,Bio Rep1,Nuclear,ProCGG,171760
nuclear-Ath-ProCGG-171761,64.95923913,0.93015093,71.10325874,84.46670756,172200,Periodate vs Deacylated,Bio Rep1,Nuclear,ProCGG,171761
nuclear-Ath-ProTGG-171741,67.28216965,1.503146983,65.66730503,83.06922749,94909,Periodate vs Deacylated,Bio Rep1,Nuclear,ProTGG,171741
nuclear-Ath-ProTGG-171744,64.0461375,1.008629385,64.88956385,78.1954359,364914,Periodate vs Deacylated,Bio Rep1,Nuclear,ProTGG,171744
nuclear-Ath-SerAGA-171812,49.97832683,15.16790624,89.17257239,95.4464753,140055,Periodate vs Deacylated,Bio Rep1,Nuclear,SerAGA,171812
nuclear-Ath-SerAGA-171813,56.0137457,18.46170763,83.13959804,94.16935135,422415,Periodate vs Deacylated,Bio Rep1,Nuclear,SerAGA,171813
nuclear-Ath-SerAGA-171814,46.94835681,5.172413793,75.40415704,86.69724771,2174,Periodate vs Deacylated,Bio Rep1,Nuclear,SerAGA,171814
nuclear-Ath-SerAGA-171815,55.97014925,23.73540856,74.95327103,90.81158384,3867,Periodate vs Deacylated,Bio Rep1,Nuclear,SerAGA,171815
nuclear-Ath-SerAGA-183750,61.12664802,20.55232012,54.39970851,74.04047793,31483,Periodate vs Deacylated,Bio Rep1,Nuclear,SerAGA,183750
nuclear-Ath-SerAGA-183759,54.85898469,15.67464115,82.04259999,93.85004708,119514,Periodate vs Deacylated,Bio Rep1,Nuclear,SerAGA,183759
nuclear-Ath-SerAGA-183762,62.31527094,22.45793709,72.11059591,90.0682941,19587,Periodate vs Deacylated,Bio Rep1,Nuclear,SerAGA,183762
nuclear-Ath-SerCGA-171782,44.85349361,13.53527607,71.96419168,84.57626116,26404,Periodate vs Deacylated,Bio Rep1,Nuclear,SerCGA,171782
nuclear-Ath-SerCGA-171785,49.69664996,13.82741465,67.43406924,81.58119253,86576,Periodate vs Deacylated,Bio Rep1,Nuclear,SerCGA,171785
nuclear-Ath-SerCGA-171794,49.79684707,12.12153181,64.26206656,78.80082301,61931,Periodate vs Deacylated,Bio Rep1,Nuclear,SerCGA,171794
nuclear-Ath-SerGCT-171796,58.04403888,14.12401082,51.30409583,74.22877352,49089,Periodate vs Deacylated,Bio Rep1,Nuclear,SerGCT,171796
nuclear-Ath-SerGCT-171797,57.47371005,12.58668792,54.81622541,73.94239424,198518,Periodate vs Deacylated,Bio Rep1,Nuclear,SerGCT,171797
nuclear-Ath-SerGCT-171798,61.99315849,13.05524896,45.75570895,71.50190802,208918,Periodate vs Deacylated,Bio Rep1,Nuclear,SerGCT,171798
nuclear-Ath-SerGCT-171800,67.48750892,12.87638165,46.37320574,70.82221234,59177,Periodate vs Deacylated,Bio Rep1,Nuclear,SerGCT,171800
nuclear-Ath-SerGCT-183728,69.08344733,20.34407428,49.64408726,72.10259015,43735,Periodate vs Deacylated,Bio Rep1,Nuclear,SerGCT,183728
nuclear-Ath-SerGCT-183752,60.12332991,12.24004753,53.87896982,74.4864701,32715,Periodate vs Deacylated,Bio Rep1,Nuclear,SerGCT,183752
nuclear-Ath-SerTGA-171783,43.91504018,9.66304154,63.17514005,76.18056735,33009,Periodate vs Deacylated,Bio Rep1,Nuclear,SerTGA,171783
nuclear-Ath-SerTGA-171784,44.78431373,9.854927464,66.60555265,79.06367826,22914,Periodate vs Deacylated,Bio Rep1,Nuclear,SerTGA,171784
nuclear-Ath-SerTGA-171792,41.94326404,6.363636364,69.03627312,79.82743153,103916,Periodate vs Deacylated,Bio Rep1,Nuclear,SerTGA,171792
nuclear-Ath-SerTGA-171793,46.60087719,7.845579078,66.14699332,77.56513236,34022,Periodate vs Deacylated,Bio Rep1,Nuclear,SerTGA,171793
nuclear-Ath-ThrAGT-171722,52.42742743,27.62911426,69.10946197,76.43014822,76356,Periodate vs Deacylated,Bio Rep1,Nuclear,ThrAGT,171722
nuclear-Ath-ThrAGT-171723,57.2173913,31.85326473,62.40506966,72.28832727,101235,Periodate vs Deacylated,Bio Rep1,Nuclear,ThrAGT,171723
nuclear-Ath-ThrAGT-171731,55.94416091,33.92534729,68.57398934,76.57179361,137038,Periodate vs Deacylated,Bio Rep1,Nuclear,ThrAGT,171731
nuclear-Ath-ThrCGT-171709,53.57524013,24.3574835,36.9872226,32.92864993,279140,Periodate vs Deacylated,Bio Rep1,Nuclear,ThrCGT,171709
nuclear-Ath-ThrCGT-171710,52.53232483,23.64621407,36.43569503,37.59887417,92604,Periodate vs Deacylated,Bio Rep1,Nuclear,ThrCGT,171710
nuclear-Ath-ThrCGT-171711,52.49695493,22.08718299,37.25640046,35.3549525,27564,Periodate vs Deacylated,Bio Rep1,Nuclear,ThrCGT,171711
nuclear-Ath-ThrTGT-171700,55.93905292,27.97571253,58.49424568,70.1946045,563338,Periodate vs Deacylated,Bio Rep1,Nuclear,ThrTGT,171700
nuclear-Ath-ThrTGT-171705,52.34952067,29.45414242,64.91315136,74.77326343,75360,Periodate vs Deacylated,Bio Rep1,Nuclear,ThrTGT,171705
nuclear-Ath-ThrTGT-183732,52.91586998,29.11677946,60.25835866,72.07984109,25905,Periodate vs Deacylated,Bio Rep1,Nuclear,ThrTGT,183732
nuclear-Ath-TrpCCA-171732,38.93894064,7.869882733,83.44638958,86.08203595,3521840,Periodate vs Deacylated,Bio Rep1,Nuclear,TrpCCA,171732
nuclear-Ath-TrpCCA-171734,39.59798503,7.926535188,83.01210532,86.11258442,3171410,Periodate vs Deacylated,Bio Rep1,Nuclear,TrpCCA,171734
nuclear-Ath-TrpCCA-183740,46.85534591,8.841321545,77.34504868,79.93651386,14922,Periodate vs Deacylated,Bio Rep1,Nuclear,TrpCCA,183740
nuclear-Ath-TyrGTA-171663,72.26501426,8.433338192,54.45076898,77.15784113,1192895,Periodate vs Deacylated,Bio Rep1,Nuclear,TyrGTA,171663
nuclear-Ath-TyrGTA-183719,74.30146067,8.978042274,48.95939885,74.55728917,165753,Periodate vs Deacylated,Bio Rep1,Nuclear,TyrGTA,183719
nuclear-Ath-ValAAC-171778,46.44194757,28.4548105,99.0433365,95.8585883,97230,Periodate vs Deacylated,Bio Rep1,Nuclear,ValAAC,171778
nuclear-Ath-ValAAC-171779,42.76666272,24.72357269,88.6442159,89.07781989,574381,Periodate vs Deacylated,Bio Rep1,Nuclear,ValAAC,171779
nuclear-Ath-ValCAC-171807,44.51406294,29.34178138,75.86936801,76.87279934,124621,Periodate vs Deacylated,Bio Rep1,Nuclear,ValCAC,171807
nuclear-Ath-ValCAC-183758,45.33173735,28.8656662,72.41119026,77.3656779,93914,Periodate vs Deacylated,Bio Rep1,Nuclear,ValCAC,183758
nuclear-Ath-ValTAC-171767,49.91197887,35.72537344,82.39015867,88.2501211,476378,Periodate vs Deacylated,Bio Rep1,Nuclear,ValTAC,171767
nuclear-Ath-ValTAC-183729,51.65945166,24.68619247,77.7027027,82.67237004,16901,Periodate vs Deacylated,Bio Rep1,Nuclear,ValTAC,183729
nuclear-Ath-ValTAC-183746,54.63743676,40.57894737,86.13676213,90.09849393,27744,Periodate vs Deacylated,Bio Rep1,Nuclear,ValTAC,183746
nuclear-Ath-eMetCAT-171754,47.62315802,9.006899732,79.48744973,90.21428968,813342,Periodate vs Deacylated,Bio Rep1,Nuclear,eMetCAT,171754
nuclear-Ath-iMetCAT-171655,55.46357616,6.464646465,69.58710977,79.33625548,6777,Periodate vs Deacylated,Bio Rep1,Nuclear,iMetCAT,171655
nuclear-Ath-iMetCAT-171659,53.27102804,2.750759878,73.93422655,89.09223526,65250,Periodate vs Deacylated,Bio Rep1,Nuclear,iMetCAT,171659
plastid-Ath-AlaTGC-171845,53.23467572,0.69286656,71.49328308,87.59578883,1897883,Periodate vs Deacylated,Bio Rep1,Plastid,AlaTGC,171845
plastid-Ath-ArgACG-171847,51.99862637,3.383270558,63.42666853,82.29403801,876963,Periodate vs Deacylated,Bio Rep1,Plastid,ArgACG,171847
plastid-Ath-ArgTCT-171846,58.03554636,5.455808783,54.3781372,72.20484059,176065,Periodate vs Deacylated,Bio Rep1,Plastid,ArgTCT,171846
plastid-Ath-AsnGTT-171848,76.51837599,1.523316571,43.14397162,74.13043893,652985,Periodate vs Deacylated,Bio Rep1,Plastid,AsnGTT,171848
plastid-Ath-AspGTC-171849,63.58245736,11.62099115,59.12203107,80.68148199,644913,Periodate vs Deacylated,Bio Rep1,Plastid,AspGTC,171849
plastid-Ath-CysGCA-171850,74.75538939,29.7812602,41.6401662,58.91862409,154920,Periodate vs Deacylated,Bio Rep1,Plastid,CysGCA,171850
plastid-Ath-GlnTTG-171851,69.1016845,10.22334394,51.02833967,76.84802011,534322,Periodate vs Deacylated,Bio Rep1,Plastid,GlnTTG,171851
plastid-Ath-GluTTC-171852,69.04135536,9.445840797,53.13842607,72.38466271,1215403,Periodate vs Deacylated,Bio Rep1,Plastid,GluTTC,171852
plastid-Ath-GlyGCC-171853,77.66199318,6.211370606,65.84481978,75.15211198,186051,Periodate vs Deacylated,Bio Rep1,Plastid,GlyGCC,171853
